study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S073,P02_0698,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,Kartik Ahuja; Ethan Caballero; Dinghuai Zhang; Jean-Christophe Gagnon-Audet; Yoshua Bengio; Ioannis Mitliagkas; Irina Rish,2021,,2106.06607v2,arXiv:broad,,http://arxiv.org/abs/2106.06607v2
S074,P02_0700,What Matters to You? Towards Visual Representation Alignment for Robot Learning,Ran Tian; Chenfeng Xu; Masayoshi Tomizuka; Jitendra Malik; Andrea Bajcsy,2023,,2310.07932v2,arXiv:broad,,http://arxiv.org/abs/2310.07932v2
S075,P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,Shange Tang; Jiayun Wu; Jianqing Fan; Chi Jin,2024,,2412.14474v1,arXiv:broad,,http://arxiv.org/abs/2412.14474v1
S076,P02_0703,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,Li-Cheng Lan; Huan Zhang; Cho-Jui Hsieh,2023,,2304.13424v1,arXiv:broad,,http://arxiv.org/abs/2304.13424v1
S077,P02_0705,Diagnosing Generalization Failures from Representational Geometry Markers,Chi-Ning Chou; Artem Kirsanov; Yao-Yuan Yang; SueYeon Chung,2026,,2603.01879v1,arXiv:broad,,http://arxiv.org/abs/2603.01879v1
S078,P02_0708,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,Lu Qiu; Yizhuo Li; Yi Chen; Yuying Ge; Yixiao Ge; Xihui Liu,2026,,2606.12217v1,arXiv:broad,,http://arxiv.org/abs/2606.12217v1
S079,P02_0712,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,Chi Wang; Xinjue Hu; Boyu Wang; Ziwen He; Zhangjie Fu,2026,,2601.11915v2,arXiv:broad,,http://arxiv.org/abs/2601.11915v2
S080,P02_0717,Incorporating Surrogate Gradient Norm to Improve Offline Optimization Techniques,Manh Cuong Dao; Phi Le Nguyen; Thao Nguyen Truong; Trong Nghia Hoang,2025,,2503.04242v1,arXiv:broad,,http://arxiv.org/abs/2503.04242v1
S081,P02_0719,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,Vivek Myers; Bill Chunyuan Zheng; Anca Dragan; Kuan Fang; Sergey Levine,2025,,2502.05454v2,arXiv:broad,,http://arxiv.org/abs/2502.05454v2
S082,P02_0724,General Greedy De-bias Learning,Xinzhe Han; Shuhui Wang; Chi Su; Qingming Huang; Qi Tian,2021,,2112.10572v5,arXiv:broad,,http://arxiv.org/abs/2112.10572v5
S083,P02_0738,DSL: Understanding and Improving Softmax Recommender Systems with Competition-Aware Scaling,Bucher Sahyouni; Matthew Vowels; Liqun Chen; Simon Hadfield,2026,,2602.07206v1,arXiv:broad,,http://arxiv.org/abs/2602.07206v1
S084,P02_0740,VLA^2: Empowering Vision-Language-Action Models with an Agentic Framework for Unseen Concept Manipulation,Han Zhao; Jiaxuan Zhang; Wenxuan Song; Pengxiang Ding; Donglin Wang,2025,,2510.14902v1,arXiv:broad,,http://arxiv.org/abs/2510.14902v1
S085,P02_0741,Navigating High Dimensional Concept Space with Metalearning,Max Gupta,2025,,2508.01948v3,arXiv:broad,,http://arxiv.org/abs/2508.01948v3
S086,P02_0753,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,Shunyang Luo; Peibei Cao; Zhihui Zhu; Kehua Feng; Zhihua Wang; Keyan Ding,2026,,2601.16987v1,arXiv:broad,,http://arxiv.org/abs/2601.16987v1
