study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S073,P02_0606,Compositional Generalization in Dependency Parsing,2021,HIGH,FALSE,FALSE,,CFQ,CFQ,rnn_family,unspecified,not_applicable,,0.9989,0.7141,0.0001,,0.2848,4.377923915497694,,0.04530562658213658,False,False,FALSE,none,4,1,True,False,False,False,False,False
S074,P02_0607,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,2020,HIGH,TRUE,FALSE,,CFQ,CFQ,transformer,unspecified,not_applicable,standard_Adam,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,False,False
S075,P02_0608,*-CFQ: Analyzing the Scalability of Machine Learning on a Compositional Task,2020,HIGH,FALSE,FALSE,5,CFQ,CFQ,transformer,unspecified,not_applicable,,0.995,0.564,,,0.431,1.9398125691871952,,0.22399955357098372,False,False,FALSE,none,4,1,True,False,False,False,False,True
S076,P02_0609,Compositional Generalization Requires Compositional Parsers,2022,HIGH,FALSE,FALSE,5,COGS,COGS,neurosymbolic,unspecified,not_applicable,,,0.984,,0.013,,,,,False,False,FALSE,none,5,2,True,False,False,False,False,True
S077,P02_0610,Think before you act: A simple baseline for compositional generalization,2020,HIGH,FALSE,FALSE,,gSCAN,gSCAN,rnn_family,small,not_applicable,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S078,P02_0611,How Do In-Context Examples Affect Compositional Generalization?,2023,HIGH,FALSE,FALSE,,custom,custom,transformer,large,not_applicable,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S079,P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,2020,HIGH,TRUE,,,CFQ,CFQ,other,unspecified,not_applicable,,,0.69,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,False,False
S080,P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,2021,HIGH,FALSE,FALSE,,CFQ,CFQ,transformer,small,not_applicable,,,0.479,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S081,P02_0614,Compositional Generalization by Learning Analytical Expressions,2020,HIGH,TRUE,FALSE,,SCAN,SCAN,neurosymbolic,unspecified,not_applicable,,,1.0,,,,,,,False,False,FALSE,other,4,1,True,False,False,True,False,False
S082,P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,2021,HIGH,FALSE,,,custom,custom,transformer,small,not_applicable,,,0.383,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S083,P02_0616,Data Factors for Better Compositional Generalization,2023,HIGH,FALSE,TRUE,5,SCAN,SCAN,transformer,small,not_applicable,,,0.0414,,0.0471,,,,,False,False,FALSE,none,4,1,True,False,False,False,True,True
S084,P02_0617,Iterative Decoding for Compositional Generalization in Transformers,2021,HIGH,FALSE,FALSE,,PCFG_SET,PCFG_SET,transformer,unspecified,not_applicable,standard_Adam,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S085,P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,2023,HIGH,FALSE,TRUE,3,COGS,COGS,neurosymbolic,unspecified,not_applicable,,,0.75,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,True,True
S086,P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,2022,HIGH,FALSE,FALSE,,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,probing,4,2,True,False,False,False,False,False
S087,P02_0620,Compositional Generalization for Natural Language Interfaces to Web APIs,2021,HIGH,FALSE,FALSE,5,custom,custom,transformer,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,1,True,False,False,False,False,True
S088,P02_0621,Revisiting the Compositional Generalization Abilities of Neural Sequence Models,2022,HIGH,FALSE,FALSE,5,SCAN,SCAN,rnn_family,small,not_applicable,,,0.945,,,,,,,False,False,FALSE,other,5,1,True,False,False,False,False,True
S089,P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,2019,HIGH,TRUE,TRUE,5,CFQ,CFQ,transformer,unspecified,not_applicable,standard_Adam,0.985,0.179,,,0.806,3.720361880947893,,0.17985216151050282,False,False,FALSE,none,3,1,True,False,False,True,True,True
