id,doi,arxiv_id,title,year,journal,url,reason,attempts
P02_0072,10.1145/3459637.3481905,,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,2021,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,https://doi.org/10.1145/3459637.3481905,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0073,10.1145/3746252.3761379,,Efficient Knowledge Graph Unlearning with Zeroth-order Information,2025,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,https://doi.org/10.1145/3746252.3761379,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0074,10.1109/taslp.2024.3485170,,Cacophony: An Improved Contrastive Audio-Text Model,2024,,https://doi.org/10.1109/TASLP.2024.3485170,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0075,10.1145/3658644.3690334,,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,2024,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,https://doi.org/10.1145/3658644.3690334,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0124,10.1109/tkde.2025.3592614,,Handling Out-of-Distribution Data: A Survey,2025,IEEE Transactions on Knowledge and Data Engineering,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0126,10.1109/iccv48922.2021.00823,,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0128,10.1109/access.2026.3716180,,A System-Level Analysis of Cross-Domain Generalization Failure in Audio Deepfake Detection,2026,IEEE Access,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0136,10.1109/aiiot65859.2025.11105270,,Defeating Multimodal Information Manipulation By A Web 3.0 Decentralized Identity (DID)-Based Accountability Framework,2025,2025 IEEE World AI IoT Congress (AIIoT),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0138,10.1109/dyspan60163.2024.10632736,,Utilizing Confidence in Localization Predictions for Improved Spectrum Management,2024,2024 IEEE International Symposium on Dynamic Spectrum Access Networks (DySPAN),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0151,10.1109/cvpr52733.2024.02258,,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0200,10.1109/tcss.2025.3641377,,Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning,2025,IEEE Transactions on Computational Social Systems,,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0380,10.3390/electronics15122733,,A Physics-Guided Symbolic Regression Framework for Multi-Resolution Dynamic Equivalent Modeling of Power Systems,2026,Electronics (Switzerland),https://www.scopus.com/pages/publications/105042867295?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0386,10.1145/3774904.3792707,,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,https://www.scopus.com/pages/publications/105038558542?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0442,10.1002/lom3.10659,,Producing plankton classifiers that are robust to dataset shift,2025,Limnology and Oceanography: Methods,https://www.scopus.com/pages/publications/85210377627?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0511,10.1145/3652583.3658113,,PTAN: Principal Token-aware Adjacent Network for Compositional Temporal Grounding,2024,ICMR 2024 - Proceedings of the 2024 International Conference on Multimedia Retrieval,https://www.scopus.com/pages/publications/85199197563?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
